seedbox,position,accession
1,3,AMBR-A-3
1,8,AMBR-A-8
1,15,ANGE-A-6
1,19,ANGE-A-13
1,26,ANGE-B-10
1,25,ANGE-B-9
1,29,AUZE-A-2
1,35,AUZE-A-8
6,8,SAUB-B-8
1,50,BARR-A-4
1,54,BARR-A-8
1,63,BELL-A-07
1,62,BELL-A-6
6,10,SAUB-B-10
6,16,SIMO-A-6
1,85,CAMA-D-4
1,86,CAMA-D-5
1,91,CAMA-E-2
2,4,CARL-A-9
2,5,CARL-A-10
2,10,CASS-A-8
2,13,CASS-A-12
6,19,SIMO-A-9
6,21,THOM-A-1
2,25,CERN-A-1
2,37,CERN-B-10
2,39,CERN-B-12
2,41,CIER-A-3
2,43,CIER-A-6
2,61,CINT-B-4
2,63,CINT-B-6
2,93,COLO-B-8
3,1,DECA-A-7
3,2,DECA-A-8
3,11,ESPE-B-8
3,13,ESPE-B-10
3,16,FERR-A-1
3,25,FERR-A-10
3,26,GAIL-A-2
3,29,GAIL-A-11
3,35,GAIL-B-6
3,36,GAIL-B-7
3,41,GREZ-A-4
3,45,GREZ-A-14
6,26,THOM-A-8
6,60,VILLE-A-3
3,61,JUZET-A-5
3,64,JUZET-A-8
3,67,JUZET-C-1
3,76,JUZET-C-10
3,78,LABA-A-1
3,80,LABA-A-3
3,93,LABAS-A-6
3,96,LABAS-A-9
4,2,LAMA-A-5
4,4,LAMA-A-7
4,11,LANT-D-4
4,12,LANT-D-5
4,20,LECT-A-4
4,26,LECT-A-10
6,66,VILLE-A-9
6,72,VILLE-B-5
4,39,LUNA-A-1
4,47,LUNA-A-9
6,75,VILLE-B-9
1,94,CAMA-E-09
2,27,CERN-A-03
2,68,CLAR-B-01
2,70,CLAR-B-03
2,86,CLAR-C-09
4,80,MONB-A-2
4,86,MONB-A-9
2,87,CLAR-C-11
2,92,COLO-B-06
4,100,MONF-A-2
5,3,MONF-A-5
5,45,NAZA-A-3
5,49,NAZA-A-10
5,54,PUYM-B-3
5,58,PUYM-B-8
5,65,RAYR-A-8
5,66,RAYR-A-9
5,80,SALE-A-1
5,84,SALE-A-5
5,90,SALV-A-1
5,93,SALV-A-5
