species,seedbox,position,accession,volume
draba-verna,181,7,AMBR-A-11,1.3
draba-verna,181,8,ANGE-A-01,1.6
draba-verna,181,24,ANGE-B-08,1.7
draba-verna,187,49,AUZE-A-08,0.75
draba-verna,181,44,BARA-C-03,2.0
draba-verna,181,56,BARR-A-05,0.5
draba-verna,181,69,BELL-A-04,1.2
draba-verna,187,53,CAMA-C-04,0.25
draba-verna,187,54,CAMA-D-04,0.5
draba-verna,181,86,CAMA-E-01,0.75
draba-verna,181,98,CARL-A-02,0.75
draba-verna,182,2,CASS-A-03,1.0
draba-verna,182,10,CERN-A-04,1.2
draba-verna,182,11,CERN-B-01,0.75
draba-verna,182,22,CIER-A-01,2.0
draba-verna,182,38,CINT-A-06,1.9
draba-verna,182,50,CINT-B-07,1.25
draba-verna,182,58,CLAR-B-04,0.8
draba-verna,182,61,CLAR-C-01,1.2
draba-verna,186,66,COLO-B-05,1.25
draba-verna,182,89,DECA-A-12,2.0
draba-verna,182,99,ESPE-B-10,0.6
draba-verna,183,3,FERR-A-03,1.5
draba-verna,183,10,GAIL-A-07,1.25
draba-verna,183,16,GAIL-B-04,2.0
draba-verna,183,26,GREZ-A-04,0.5
draba-verna,183,32,JUZE-A-07,0.7
draba-verna,183,43,JUZET-A-03,1.25
draba-verna,183,46,JUZET-C-03,1.8
draba-verna,183,49,LABA-A-02,2.0
draba-verna,183,66,LABAS-A-04,0.4
draba-verna,183,70,LAMA-A-03,0.3
draba-verna,183,84,LANT-D-03,1.7
draba-verna,184,6,LAUZ-A-10,1.2
draba-verna,184,14,LECT-A-08,1.3
draba-verna,185,97,LUNA-A-05,2.0
draba-verna,184,39,MONB-A-01,1.2
draba-verna,184,56,MONF-A-05,1.9
draba-verna,184,72,MONTM-A-02,1.1
draba-verna,184,84,NAZA-A-05,1.25
draba-verna,185,3,PUYM-B-11,0.8
draba-verna,185,17,RAYR-A-11,1.25
draba-verna,185,18,SALE-A-01,1.3
draba-verna,185,19,SALV-A-01,1.1
draba-verna,185,35,SAUB-B-05,1.4
draba-verna,185,43,SIMO-A-02,1.25
draba-verna,185,58,THOM-A-09,1.5
draba-verna,185,70,VILLE-A-09,1.0
draba-verna,185,89,VILLE-B-14,1.1
draba-verna,185,90,VILLE-C-01,0.4
draba-verna,184,68,MONTI-B-05,1.5
draba-verna,182,77,DAMI-C-05,1.5
draba-verna,183,80,LANT-B-09,2.0
draba-verna,184,35,MARS-C-05,1.0
arabidopsis-thaliana,8,38,VILLA-A-10,1.5
arabidopsis-thaliana,8,22,BARR-A-08,0.8
arabidopsis-thaliana,8,10,VICT-B-10,1.0
